id,date,Home,Away,round,result,Home_Points_Before,home_halftime_score,home_fulltime_score,home_extratime_score,home_penalty_score,Away_Points_Before,away_halftime_score,away_fulltime_score,away_extratime_score,away_penalty_score
721792,2021-09-12 22:00:00+00:00,U.N.A.M. - Pumas,Guadalajara Chivas,Apertura - 8,d,5,0,0,,,9,0,0,,
721791,2021-09-13 00:00:00+00:00,Club Queretaro,Necaxa,Apertura - 8,h,3,2,3,,,9,0,0,,
721793,2021-09-14 02:00:00+00:00,Pachuca,Toluca,Apertura - 8,a,7,1,1,,,14,1,2,,
721794,2021-09-17 00:00:00+00:00,Atletico San Luis,Club Tijuana,Apertura - 9,h,10,3,4,,,6,1,1,,
721795,2021-09-18 02:00:00+00:00,Necaxa,Atlas,Apertura - 9,a,9,0,0,,,13,2,3,,
721799,2021-09-18 22:00:00+00:00,Leon,FC Juarez,Apertura - 9,a,15,0,0,,,5,0,1,,
721797,2021-09-19 00:00:00+00:00,Toluca,Club America,Apertura - 9,h,17,2,3,,,20,1,1,,
721798,2021-09-19 02:00:00+00:00,Guadalajara Chivas,Pachuca,Apertura - 9,h,10,0,1,,,7,0,0,,
721796,2021-09-19 02:00:00+00:00,Mazatlán,U.N.A.M. - Pumas,Apertura - 9,d,9,1,2,,,6,0,2,,
721801,2021-09-20 00:00:00+00:00,Cruz Azul,Club Queretaro,Apertura - 9,h,10,1,2,,,6,0,0,,
721800,2021-09-20 00:06:00+00:00,Monterrey,Tigres UANL,Apertura - 9,h,11,1,2,,,13,0,0,,
721802,2021-09-20 02:06:00+00:00,Santos Laguna,Puebla,Apertura - 9,d,11,0,1,,,7,0,1,,
721839,2021-09-22 02:00:00+00:00,FC Juarez,Atletico San Luis,Apertura - 14,h,8,1,1,,,13,0,0,,
721812,2021-09-23 00:06:00+00:00,Monterrey,Toluca,Apertura - 11,h,14,1,2,,,20,0,0,,
721803,2021-09-24 02:00:00+00:00,Pachuca,Necaxa,Apertura - 10,h,7,1,1,,,9,0,0,,
721804,2021-09-25 01:00:00+00:00,Puebla,Cruz Azul,Apertura - 10,d,8,1,1,,,13,1,1,,
721806,2021-09-25 02:06:00+00:00,Club Tijuana,Mazatlán,Apertura - 10,d,6,0,0,,,10,0,0,,
721810,2021-09-25 22:00:00+00:00,Atlas,Leon,Apertura - 10,h,16,1,2,,,15,0,0,,
721807,2021-09-26 00:00:00+00:00,Tigres UANL,U.N.A.M. - Pumas,Apertura - 10,d,13,0,0,,,7,0,0,,
721808,2021-09-26 02:00:00+00:00,Club America,Guadalajara Chivas,Apertura - 10,d,20,0,0,,,13,0,0,,
721809,2021-09-26 17:00:00+00:00,Toluca,Atletico San Luis,Apertura - 10,a,20,1,1,,,13,2,2,,
721811,2021-09-27 00:06:00+00:00,Santos Laguna,Monterrey,Apertura - 10,a,12,0,1,,,17,0,2,,
721816,2021-09-28 22:00:00+00:00,Necaxa,Club Tijuana,Apertura - 11,h,9,0,3,,,7,0,0,,
721815,2021-09-29 00:00:00+00:00,Mazatlán,FC Juarez,Apertura - 11,h,11,2,3,,,11,0,1,,
721813,2021-09-29 02:00:00+00:00,Atlas,Puebla,Apertura - 11,a,19,0,0,,,9,1,1,,
721814,2021-09-29 02:05:00+00:00,Pachuca,Club America,Apertura - 11,d,10,1,1,,,21,1,1,,
721818,2021-09-29 22:00:00+00:00,Atletico San Luis,Tigres UANL,Apertura - 11,a,16,0,0,,,14,1,3,,
721817,2021-09-30 02:15:00+00:00,Club Queretaro,Guadalajara Chivas,Apertura - 11,h,6,0,1,,,14,0,0,,
721821,2021-10-02 00:00:00+00:00,Puebla,Pachuca,Apertura - 12,a,12,1,1,,,11,1,2,,
721822,2021-10-02 02:00:00+00:00,FC Juarez,Monterrey,Apertura - 12,h,11,2,3,,,20,1,1,,
721826,2021-10-02 22:00:00+00:00,Leon,Atletico San Luis,Apertura - 12,d,15,0,0,,,16,0,0,,
721827,2021-10-03 00:06:00+00:00,Santos Laguna,Mazatlán,Apertura - 12,h,12,1,1,,,14,0,0,,
721823,2021-10-03 02:00:00+00:00,Guadalajara Chivas,Atlas,Apertura - 12,a,14,0,0,,,19,1,1,,
721825,2021-10-03 17:00:00+00:00,Toluca,Club Queretaro,Apertura - 12,d,20,0,1,,,9,0,1,,
721824,2021-10-03 22:00:00+00:00,Club America,U.N.A.M. - Pumas,Apertura - 12,h,22,1,2,,,8,0,0,,
721829,2021-10-04 00:00:00+00:00,Tigres UANL,Necaxa,Apertura - 12,d,17,0,0,,,12,0,0,,
721828,2021-10-04 02:06:00+00:00,Club Tijuana,Cruz Azul,Apertura - 12,a,7,0,0,,,14,1,1,,
721805,2021-10-09 00:00:00+00:00,FC Juarez,Club Queretaro,Apertura - 10,d,14,0,0,,,10,0,0,,
721830,2021-10-15 01:00:00+00:00,Club Queretaro,Club Tijuana,Apertura - 13,d,11,0,1,,,7,1,1,,
721831,2021-10-16 00:00:00+00:00,Necaxa,Puebla,Apertura - 13,a,13,0,0,,,12,0,1,,
721832,2021-10-16 02:00:00+00:00,Mazatlán,Atlas,Apertura - 13,h,14,1,1,,,22,0,0,,
721837,2021-10-16 22:00:00+00:00,Monterrey,Leon,Apertura - 13,a,20,0,0,,,16,1,1,,
721834,2021-10-17 00:00:00+00:00,Atletico San Luis,Club America,Apertura - 13,a,17,0,0,,,25,0,1,,
721833,2021-10-17 00:05:00+00:00,Pachuca,Santos Laguna,Apertura - 13,d,14,0,1,,,15,0,1,,
721835,2021-10-17 02:00:00+00:00,Cruz Azul,Tigres UANL,Apertura - 13,d,17,1,1,,,18,1,1,,
721836,2021-10-17 17:00:00+00:00,U.N.A.M. - Pumas,FC Juarez,Apertura - 13,h,8,0,1,,,15,0,0,,
721838,2021-10-17 22:00:00+00:00,Guadalajara Chivas,Toluca,Apertura - 13,h,14,1,2,,,21,0,0,,
721843,2021-10-19 22:00:00+00:00,Club Queretaro,Monterrey,Apertura - 14,h,12,1,1,,,20,0,0,,
721840,2021-10-20 00:00:00+00:00,Puebla,Mazatlán,Apertura - 14,h,15,0,2,,,17,0,0,,
721841,2021-10-20 00:05:00+00:00,Club America,Santos Laguna,Apertura - 14,h,28,0,2,,,16,0,1,,
721842,2021-10-20 02:05:00+00:00,Atlas,Cruz Azul,Apertura - 14,d,22,0,0,,,18,0,0,,
721844,2021-10-21 00:00:00+00:00,Toluca,Necaxa,Apertura - 14,d,21,0,1,,,13,0,1,,
721845,2021-10-21 00:00:00+00:00,Leon,U.N.A.M. - Pumas,Apertura - 14,a,19,0,1,,,11,1,2,,
721846,2021-10-21 02:00:00+00:00,Tigres UANL,Pachuca,Apertura - 14,h,19,2,3,,,15,0,0,,
721847,2021-10-21 02:06:00+00:00,Club Tijuana,Guadalajara Chivas,Apertura - 14,d,8,0,0,,,17,0,0,,
721848,2021-10-23 02:00:00+00:00,Mazatlán,Club Queretaro,Apertura - 15,h,17,0,2,,,15,1,1,,
721852,2021-10-23 22:00:00+00:00,Puebla,Leon,Apertura - 15,a,18,0,0,,,19,0,1,,
721849,2021-10-24 00:00:00+00:00,Club America,Tigres UANL,Apertura - 15,h,31,0,1,,,22,0,0,,
